fiction1,classics3,cartoons5,legends6,philosophy7,religion8,psychology9,linguistics10,art12,music14,facsimile17,history19,conthist20,economy21,politics22,science23,compsci26,railroads27,maps30,travelguides31,health35,cooking36,learning37,GamesRiddles38,sports39,hobby40,nature41,encyclopaedia44,videos50,nonbooks99
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,4,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,2,0,0,1,1,0,0,0,1,3,0,1,1,3,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,2,0,0,0,0,2,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,8,0,0,2,0,3,1,12,0,22,60,1,0,14,1,2,0,1,3,2,1,0,0,3,2,5,0,1
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0
0,1,0,0,1,3,0,0,10,3,0,19,34,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,5,1,2,1,0,0,0,1,1,2,0
0,0,2,0,0,2,0,1,0,2,0,4,43,0,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,1,3,0,4,0,0,0,0,2,0,0,6,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,3,0,0,10,0,0,4,1,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,1,2
2,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,3,1,0,0,0,0,3,5,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
0,0,1,0,0,5,0,1,0,5,0,1,3,1,0,8,6,0,0,0,18,3,0,0,0,2,0,1,0,1
5,0,0,1,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,24,1,2,0,0,0,2,0,0,0,0
1,0,3,0,0,0,0,1,0,0,0,8,5,0,0,2,0,0,0,0,1,1,0,0,0,0,0,4,0,4
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,4,1,1,0,0,4,0,1,0,0
0,0,0,0,2,2,0,0,1,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,1,3,0,0,0,1,0,0,0,0
1,1,0,0,0,3,0,0,3,26,0,1,0,0,0,1,1,2,0,9,4,0,4,0,0,1,0,2,1,1
0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1,0,0,0,0,5,0,0,10,2,0,43,0,0,0,1,0,0,0,10,2,0,0,0,0,1,0,1,0,0
4,0,0,0,2,21,1,3,3,10,0,11,0,0,0,2,0,0,0,1,13,0,4,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,2,6,1,3,2,0,0,1,0,1,0,2,5,2,1,0,0,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
2,0,1,0,1,1,0,1,4,8,0,6,8,4,0,2,1,2,0,1,8,2,1,0,0,8,2,3,0,0
0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2,1,0,0,2,4,0,1,0,1,0,1,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
3,0,0,0,2,0,0,0,5,0,0,16,26,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,17,0,4,6,0,0,1,0,0,1,9,2,0,1,0,0,2,1,0,3,0
3,2,2,1,0,1,0,0,8,7,0,7,24,0,0,5,0,2,2,10,13,0,3,0,0,5,1,6,6,1
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
