PLAYER
Karl-Anthony Towns
Jahlil Okafor
Kristaps Porzingis
Devin Booker
D'Angelo Russell
Emmanuel Mudiay
Myles Turner
Nikola Jokic
Stanley Johnson
Frank Kaminsky
Bobby Portis
Willie Cauley-Stein
Josh Richardson
Justise Winslow
Trey Lyles
TJ McConnell
Mario Hezonja
Jonathon Simmons
Duje Dukan
Raul Neto
Rondae Hollis-Jefferson
Xavier Munford
Jarell Martin
Bryce Dejean-Jones
Richaun Holmes
Jerian Grant
Norman Powell
Larry Nance Jr.
Boban Marjanovic
Nemanja Bjelica
Cameron Payne
Willie Reed
Chris McCullough
Jordan McRae
Marcelo Huertas
Briante Weber
Tyus Jones
Darrun Hilliard
Rakeem Christmas
Anthony Brown
Delon Wright
Justin Anderson
Joe Young
Kelly Oubre Jr.
Salah Mejri
Axel Toupane
Montrezl Harrell
Christian Wood
Cristiano Felicio
Rashad Vaughn
Thanasis Antetokounmpo
Alan Williams
Josh Huestis
Alex Stepheson
RJ Hunter
Jarell Eddie
Lamar Patterson
Edy Tavares
Tibor Pleiss
Coty Clarke
Terry Rozier
Damien Inglis
Kevon Looney
Jordan Mickey
Cliff Alexander
Keith Appling
Luis Montero
Pat Connaughton
Sasha Kaun
Aaron Harrison
Branden Dawson
JJ O'Brien
Sam Dekker
