TEAM
Golden State Warriors
San Antonio Spurs
Cleveland Cavaliers
Toronto Raptors
Oklahoma City Thunder
LA Clippers
Miami Heat
Boston Celtics
Charlotte Hornets
Atlanta Hawks
Indiana Pacers
Detroit Pistons
Portland Trail Blazers
Dallas Mavericks
Chicago Bulls
Memphis Grizzlies
Houston Rockets
Washington Wizards
Utah Jazz
Orlando Magic
Milwaukee Bucks
Denver Nuggets
Sacramento Kings
New York Knicks
New Orleans Pelicans
Minnesota Timberwolves
Phoenix Suns
Brooklyn Nets
Los Angeles Lakers
Philadelphia 76ers
